timestamp,max_container
2026-03-09T12:44:58.473201,7
2026-03-09T12:46:34.995094,4
2026-03-09T12:48:11.966413,6
2026-03-09T12:49:48.317363,8
2026-03-09T12:51:25.051110,6
2026-03-09T12:53:00.889449,6
2026-03-09T12:54:37.883399,3
2026-03-09T12:56:13.518721,6
2026-03-09T12:57:49.860151,4
2026-03-09T12:59:24.760746,5
2026-03-09T13:01:00.471445,8
2026-03-09T13:02:36.908517,3
2026-03-09T13:04:12.567623,7
2026-03-09T13:05:50.769976,6
2026-03-09T13:07:25.455834,6
2026-03-09T13:09:03.094018,5
2026-03-09T13:10:39.305608,8
2026-03-09T13:12:15.270119,5
2026-03-09T13:13:52.828535,7
2026-03-09T13:15:28.873274,3
2026-03-09T13:17:05.534589,4
2026-03-09T13:18:42.772715,4
2026-03-09T13:20:19.279406,6
2026-03-09T13:21:55.167104,8
2026-03-09T13:23:30.764692,8
2026-03-09T13:25:07.030201,4
2026-03-09T13:26:43.172084,4
2026-03-09T13:28:21.839207,6
2026-03-09T13:30:00.228192,3
2026-03-09T13:31:40.185478,7
2026-03-09T13:33:18.817742,4
2026-03-09T13:34:57.493127,6
2026-03-09T13:36:36.132343,7
2026-03-09T13:38:13.598368,5
2026-03-09T14:24:28.448756,7
2026-03-09T14:26:04.675979,8
2026-03-09T14:27:40.898344,6
2026-03-09T14:29:18.108443,7
2026-03-09T14:30:55.111008,3
2026-03-09T14:32:34.459701,5
